lead,length,model,region,subset,gcm_accuracy,obs_accuracy,gcm_acc_low,gcm_acc_high
0,60,IPSL-CM6A-LR,tropical_pacific,top40,0.45936482160871783,0.5017960227608274,0.41033734297683455,0.5177778401798182
0,60,IPSL-CM6A-LR,tropical_pacific,top20,0.5053272237951323,0.5693244751943581,0.4362568656887971,0.5817020101660043
0,60,IPSL-CM6A-LR,southern_ocean,all,0.4170523285593971,0.3862453048420434,0.39005771814978085,0.4771605642316713
0,60,IPSL-CM6A-LR,southern_ocean,top40,0.479551977452963,0.4263713666589053,0.43330685730471064,0.5778274498541459
0,60,IPSL-CM6A-LR,southern_ocean,top20,0.5103716544251046,0.4497507878021703,0.45768233562426847,0.6133124660615079
0,60,IPSL-CM6A-LR,north_atlantic,all,0.5011340396608615,0.4963061905846384,0.4660322440948362,0.5398556257452855
0,60,IPSL-CM6A-LR,north_atlantic,top40,0.6120587690470723,0.5926031826175183,0.572195534308503,0.6794183719759108
0,60,IPSL-CM6A-LR,north_atlantic,top20,0.6697643277739646,0.6196400930906025,0.61931053187321,0.72065192810697
0,60,IPSL-CM6A-LR,tropical_atlantic,all,0.44279668044062337,0.4669007216345659,0.39005317924457633,0.49960600950706835
0,60,IPSL-CM6A-LR,tropical_atlantic,top40,0.5299921836543385,0.5733521060826429,0.45713369125333725,0.6451169244752968
0,60,IPSL-CM6A-LR,tropical_atlantic,top20,0.5874842520278445,0.6360125940553228,0.5312103403479572,0.7274758469302499
0,60,IPSL-CM6A-LR,west_indian,all,0.44231697923768243,0.3624118981973842,0.3904728220014233,0.4996243571729832
0,60,IPSL-CM6A-LR,west_indian,top40,0.5206720462214538,0.3695221137400927,0.4056136624240527,0.651535149973987
0,60,IPSL-CM6A-LR,west_indian,top20,0.5706923017837444,0.39279482909160324,0.39511291119136643,0.7476343789401529
0,60,MIROC-ES2L,global,all,0.4028995351817142,0.38180611766003675,0.39318976766509917,0.41508829163158206
0,60,MIROC-ES2L,global,top40,0.45615196815272946,0.4193965633809082,0.43647633208798114,0.47852379930296457
0,60,MIROC-ES2L,global,top20,0.4904695765437311,0.4450910977255649,0.46226914573045075,0.5168003463080768
0,60,MIROC-ES2L,north_pacific,all,0.4100386745751113,0.3673923193490962,0.389173945316822,0.42994561673445963
0,60,MIROC-ES2L,north_pacific,top40,0.4668930061904506,0.40441028944368984,0.4237651542460821,0.5015114757319727
0,60,MIROC-ES2L,north_pacific,top20,0.5045208141333708,0.4338178306178387,0.4523373606362789,0.550531511217623
0,60,MIROC-ES2L,tropical_pacific,all,0.40983286426646465,0.3963065114843813,0.3962844168287818,0.42680241815310194
0,60,MIROC-ES2L,tropical_pacific,top40,0.4696145096291372,0.43599016198368695,0.4508327626509198,0.5023540205290367
0,60,MIROC-ES2L,tropical_pacific,top20,0.5094654738027667,0.46289145391684244,0.477346966190834,0.5450524199619234
0,60,MIROC-ES2L,southern_ocean,all,0.4428366399177345,0.4231842608123033,0.41960417620534574,0.4696909538775802
0,60,MIROC-ES2L,southern_ocean,top40,0.5256112256147786,0.48788847560012644,0.4850386328818691,0.5692558604425206
0,60,MIROC-ES2L,southern_ocean,top20,0.5757000449415652,0.5256761190628256,0.5293118323867587,0.6300024120592786
0,60,MIROC-ES2L,north_atlantic,all,0.4213846272361522,0.4249052845700391,0.40682172562475394,0.4461773848763744
0,60,MIROC-ES2L,north_atlantic,top40,0.4873834137095471,0.48510778222030304,0.4682974831336408,0.52372296229049
0,60,MIROC-ES2L,north_atlantic,top20,0.5262716516710626,0.5201153138186293,0.4876437323648509,0.5844175690178715
0,60,MIROC-ES2L,tropical_atlantic,all,0.370385336095631,0.37283459822509735,0.3586228536128368,0.38371382273501864
0,60,MIROC-ES2L,tropical_atlantic,top40,0.39209353092057164,0.3980751757360462,0.3733326077856419,0.4161368604865304
0,60,MIROC-ES2L,tropical_atlantic,top20,0.40219372839587847,0.41138311777122366,0.372960334540768,0.43964536733543647
0,60,MIROC-ES2L,west_indian,all,0.41101307079413446,0.349022912670382,0.38137465203663623,0.4413525450168122
0,60,MIROC-ES2L,west_indian,top40,0.46879239933054045,0.37809272326363497,0.41446100565453453,0.5127316020629552
0,60,MIROC-ES2L,west_indian,top20,0.503584050292395,0.4170550018291315,0.4435969766184024,0.5564107995965446
0,60,MIROC6,global,all,0.4167540744367494,0.3790734788006993,0.4093774782836711,0.43019066853677246
0,60,MIROC6,global,top40,0.48219442097186993,0.41471405697621017,0.4641566001411717,0.5069693549398854
0,60,MIROC6,global,top20,0.5255653906398595,0.436123062231377,0.4941759076950051,0.558042531927766
0,60,MIROC6,north_pacific,all,0.4081224349511519,0.38485862308036456,0.4019370347823233,0.41186845126654287
0,60,MIROC6,north_pacific,top40,0.4668198867059206,0.43266817117026496,0.4573317454433591,0.4738802476328607
0,60,MIROC6,north_pacific,top20,0.5072281374941692,0.47915174538106475,0.4991807484538112,0.5141981727120016
0,60,MIROC6,tropical_pacific,all,0.45288249337350395,0.37342442553680405,0.4380448886843204,0.4722224489915165
0,60,MIROC6,tropical_pacific,top40,0.541278368235663,0.4064732687287955,0.5204218670059989,0.575636703224744
0,60,MIROC6,tropical_pacific,top20,0.60541639914907,0.41658596180908114,0.5876676018056604,0.6426904343733311
0,60,MIROC6,southern_ocean,all,0.4283090300349984,0.385004043904343,0.4121630235107425,0.4411745931866057
0,60,MIROC6,southern_ocean,top40,0.5032306695356897,0.4263272469975973,0.4769178428822003,0.5351743959221115
0,60,MIROC6,southern_ocean,top20,0.5497079746543602,0.4511589669383272,0.5119178054018295,0.5982462634425931
0,60,MIROC6,north_atlantic,all,0.47257517215559075,0.44961324899098803,0.4501939510421929,0.4965342054982128
0,60,MIROC6,north_atlantic,top40,0.5721363583914406,0.511744822213666,0.5481675924124598,0.6087830932943473
0,60,MIROC6,north_atlantic,top20,0.629131155987628,0.5094047532698776,0.5929378847159933,0.6706404843405575
0,60,MIROC6,tropical_atlantic,all,0.41150924825822405,0.41474059932764606,0.4071052038020322,0.4166584181552285
0,60,MIROC6,tropical_atlantic,top40,0.4773198143543794,0.4772622216748321,0.462471821069476,0.4876431417792637
0,60,MIROC6,tropical_atlantic,top20,0.5178626013862535,0.5096223990097667,0.48914684191799157,0.5505675836803027
0,60,MIROC6,west_indian,all,0.45957060230995206,0.38685671260076837,0.4446795915218144,0.4886898468914851
0,60,MIROC6,west_indian,top40,0.5533075945132785,0.45255497542521983,0.509608106133825,0.590546256535796
0,60,MIROC6,west_indian,top20,0.6151342060692496,0.5016839282516968,0.52440822253848,0.6603075386752524
0,60,MPI-ESM1-2-LR,global,all,0.4038063682216659,0.38134682276446935,0.39327414107370934,0.41802521064456816
0,60,MPI-ESM1-2-LR,global,top40,0.4561061341329494,0.42045402954660976,0.43527166483122137,0.4779425513868051
0,60,MPI-ESM1-2-LR,global,top20,0.48674232478215373,0.44471458867373814,0.4598018427635441,0.5122700498143217
0,60,MPI-ESM1-2-LR,north_pacific,all,0.41834474216504425,0.3720370034325975,0.4047303450188354,0.44181552966313065
0,60,MPI-ESM1-2-LR,north_pacific,top40,0.4837838134240043,0.4141425971245241,0.4655575835140379,0.5174972757312782
0,60,MPI-ESM1-2-LR,north_pacific,top20,0.520928518859691,0.4512731952139491,0.5004634429636564,0.5621454130213984
0,60,MPI-ESM1-2-LR,tropical_pacific,all,0.42281300965820884,0.38899327420366214,0.40169500512978173,0.45017968949361276
0,60,MPI-ESM1-2-LR,tropical_pacific,top40,0.48648510408116497,0.4456317503276526,0.4315260040044147,0.5323128805692438
0,60,MPI-ESM1-2-LR,tropical_pacific,top20,0.5212036483080724,0.4634003943250416,0.4442253166146287,0.5819150307691834
0,60,MPI-ESM1-2-LR,southern_ocean,all,0.40852025891669663,0.393122146660654,0.387248901860284,0.4204021355213435
0,60,MPI-ESM1-2-LR,southern_ocean,top40,0.46399988290556876,0.4283147000068265,0.4272673260369196,0.4867616008875744
0,60,MPI-ESM1-2-LR,southern_ocean,top20,0.49749153639358373,0.44884487149321434,0.4516723440182532,0.5234583012445725
0,60,MPI-ESM1-2-LR,north_atlantic,all,0.4672318011259116,0.45431349908809426,0.42196812955508456,0.5069641434847943
0,60,MPI-ESM1-2-LR,north_atlantic,top40,0.5645271733506609,0.5150279870277353,0.500175914604642,0.6317948098939409
0,60,MPI-ESM1-2-LR,north_atlantic,top20,0.6164357772200552,0.5357901666231706,0.5488800207704229,0.6972225844006837
0,60,MPI-ESM1-2-LR,tropical_atlantic,all,0.4028636608467916,0.43265984165330545,0.377349919758503,0.417243521866095
0,60,MPI-ESM1-2-LR,tropical_atlantic,top40,0.4536231026318351,0.5214477433348723,0.41287639729764475,0.47183839181642784
0,60,MPI-ESM1-2-LR,tropical_atlantic,top20,0.48077275225690197,0.5792317926121507,0.4306696979398184,0.5085123156290219
0,60,MPI-ESM1-2-LR,west_indian,all,0.4197451011670439,0.3955912526312215,0.3718768754404443,0.44912715814133575
0,60,MPI-ESM1-2-LR,west_indian,top40,0.49016512252739375,0.4470078370324848,0.4130365173359957,0.5583805634411128
0,60,MPI-ESM1-2-LR,west_indian,top20,0.5324531223478336,0.4813066268525349,0.4477500151578725,0.6061085472434774
